DATE,AVG_DUR_U
01/08/1983,20
01/09/1983,20.2
01/10/1983,20.2
01/11/1983,19.7
01/12/1983,19.2
01/01/1984,20.4
01/02/1984,19
01/03/1984,19.1
01/04/1984,18.9
01/05/1984,18.8
01/06/1984,18.1
01/07/1984,18
01/08/1984,17.3
01/09/1984,17
01/10/1984,16.7
01/11/1984,17
01/12/1984,16.8
01/01/1985,15.9
01/02/1985,15.9
01/03/1985,16.1
01/04/1985,16.4
01/05/1985,15.3
01/06/1985,15.5
01/07/1985,15.5
01/08/1985,15.3
01/09/1985,15.3
01/10/1985,15.3
01/11/1985,15.7
01/12/1985,15.1
01/01/1986,14.8
01/02/1986,15.2
01/03/1986,14.6
01/04/1986,14.7
01/05/1986,14.7
01/06/1986,15.2
01/07/1986,15.2
01/08/1986,15.5
01/09/1986,15.4
01/10/1986,15.2
01/11/1986,15
01/12/1986,15
01/01/1987,14.9
01/02/1987,14.7
01/03/1987,14.9
01/04/1987,14.8
01/05/1987,14.9
01/06/1987,14.9
01/07/1987,14.2
01/08/1987,14.4
01/09/1987,14.2
01/10/1987,14
01/11/1987,14
01/12/1987,14.2
01/01/1988,14.2
01/02/1988,14.4
01/03/1988,13.7
01/04/1988,13.3
01/05/1988,13.8
01/06/1988,13.1
01/07/1988,13.4
01/08/1988,13.6
01/09/1988,13.6
01/10/1988,13.4
01/11/1988,12.6
01/12/1988,12.9
01/01/1989,12.6
01/02/1989,12.4
01/03/1989,12.3
01/04/1989,12.5
01/05/1989,12
01/06/1989,11.1
01/07/1989,11.8
01/08/1989,11.4
01/09/1989,11.5
01/10/1989,11.9
01/11/1989,11.7
01/12/1989,11.6
01/01/1990,11.8
01/02/1990,11.6
01/03/1990,11.7
01/04/1990,11.8
01/05/1990,11.7
01/06/1990,11.6
01/07/1990,11.9
01/08/1990,12.2
01/09/1990,12.4
01/10/1990,12.2
01/11/1990,12.4
01/12/1990,12.5
01/01/1991,12.2
01/02/1991,12.7
01/03/1991,12.9
01/04/1991,13.5
01/05/1991,12.9
01/06/1991,13.7
01/07/1991,13.8
01/08/1991,13.9
01/09/1991,14
01/10/1991,14.4
01/11/1991,14.8
01/12/1991,15.4
01/01/1992,16.1
01/02/1992,16.7
01/03/1992,17.1
01/04/1992,17.4
01/05/1992,17.8
01/06/1992,18.2
01/07/1992,18.1
01/08/1992,18
01/09/1992,18.1
01/10/1992,18.9
01/11/1992,17.9
01/12/1992,19
01/01/1993,18.3
01/02/1993,18.2
01/03/1993,17.6
01/04/1993,17.6
01/05/1993,17.5
01/06/1993,17.8
01/07/1993,17.7
01/08/1993,18
01/09/1993,18.1
01/10/1993,18.1
01/11/1993,18.6
01/12/1993,18.3
01/01/1994,18.6
01/02/1994,19
01/03/1994,19
01/04/1994,19
01/05/1994,19.5
01/06/1994,18.8
01/07/1994,19
01/08/1994,18.8
01/09/1994,18.7
01/10/1994,19.3
01/11/1994,18
01/12/1994,17.8
01/01/1995,17.1
01/02/1995,17
01/03/1995,17.3
01/04/1995,17.6
01/05/1995,17
01/06/1995,15.9
01/07/1995,16.5
01/08/1995,16.2
01/09/1995,16.2
01/10/1995,16
01/11/1995,16.4
01/12/1995,16.3
01/01/1996,16.1
01/02/1996,16.4
01/03/1996,17.3
01/04/1996,17.6
01/05/1996,17
01/06/1996,17.6
01/07/1996,16.7
01/08/1996,17.3
01/09/1996,16.8
01/10/1996,16.3
01/11/1996,15.9
01/12/1996,15.6
01/01/1997,16
01/02/1997,15.8
01/03/1997,15.5
01/04/1997,15.6
01/05/1997,15.4
01/06/1997,15.5
01/07/1997,16.4
01/08/1997,16
01/09/1997,15.9
01/10/1997,16.1
01/11/1997,15.4
01/12/1997,15.9
01/01/1998,15.6
01/02/1998,15.4
01/03/1998,14.5
01/04/1998,14.7
01/05/1998,14.7
01/06/1998,14.1
01/07/1998,14.1
01/08/1998,13.7
01/09/1998,14.4
01/10/1998,14.1
01/11/1998,14.5
01/12/1998,14
01/01/1999,13.4
01/02/1999,13.8
01/03/1999,13.4
01/04/1999,13.3
01/05/1999,13.4
01/06/1999,14.3
01/07/1999,13.6
01/08/1999,13.1
01/09/1999,13.1
01/10/1999,13.3
01/11/1999,12.9
01/12/1999,12.9
01/01/2000,13.1
01/02/2000,12.6
01/03/2000,12.7
01/04/2000,12.4
01/05/2000,12.6
01/06/2000,12.3
01/07/2000,13.4
01/08/2000,12.9
01/09/2000,12.2
01/10/2000,12.7
01/11/2000,12.4
01/12/2000,12.5
01/01/2001,12.7
01/02/2001,12.8
01/03/2001,12.8
01/04/2001,12.4
01/05/2001,12.1
01/06/2001,12.7
01/07/2001,12.9
01/08/2001,13.3
01/09/2001,13.2
01/10/2001,13.3
01/11/2001,14.3
01/12/2001,14.5
01/01/2002,14.7
01/02/2002,15
01/03/2002,15.4
01/04/2002,16.3
01/05/2002,16.8
01/06/2002,16.9
01/07/2002,16.9
01/08/2002,16.5
01/09/2002,17.6
01/10/2002,17.8
01/11/2002,17.6
01/12/2002,18.5
01/01/2003,18.5
01/02/2003,18.5
01/03/2003,18.1
01/04/2003,19.4
01/05/2003,19
01/06/2003,19.9
01/07/2003,19.7
01/08/2003,19.2
01/09/2003,19.5
01/10/2003,19.3
01/11/2003,19.9
01/12/2003,19.8
01/01/2004,19.9
01/02/2004,20.1
01/03/2004,19.8
01/04/2004,19.6
01/05/2004,19.8
01/06/2004,20.5
01/07/2004,18.8
01/08/2004,18.8
01/09/2004,19.4
01/10/2004,19.5
01/11/2004,19.7
01/12/2004,19.4
01/01/2005,19.5
01/02/2005,19.1
01/03/2005,19.5
01/04/2005,19.6
01/05/2005,18.6
01/06/2005,17.9
01/07/2005,17.6
01/08/2005,18.4
01/09/2005,17.9
01/10/2005,17.9
01/11/2005,17.5
01/12/2005,17.5
01/01/2006,16.9
01/02/2006,17.8
01/03/2006,17.1
01/04/2006,16.7
01/05/2006,17.1
01/06/2006,16.6
01/07/2006,17.1
01/08/2006,17.1
01/09/2006,17.1
01/10/2006,16.3
01/11/2006,16.2
01/12/2006,16.1
01/01/2007,16.3
01/02/2007,16.7
01/03/2007,17.8
01/04/2007,16.9
01/05/2007,16.6
01/06/2007,16.5
01/07/2007,17.2
01/08/2007,17
01/09/2007,16.3
01/10/2007,17
01/11/2007,17.3
01/12/2007,16.6
01/01/2008,17.5
01/02/2008,16.9
01/03/2008,16.5
01/04/2008,16.9
01/05/2008,16.6
01/06/2008,17.1
01/07/2008,17
01/08/2008,17.7
01/09/2008,18.6
01/10/2008,19.9
01/11/2008,18.9
01/12/2008,19.9
01/01/2009,19.8
01/02/2009,20.2
01/03/2009,20.9
01/04/2009,21.7
01/05/2009,22.4
01/06/2009,23.9
01/07/2009,25.1
01/08/2009,25.3
01/09/2009,26.6
01/10/2009,27.5
01/11/2009,28.9
01/12/2009,29.7
01/01/2010,30.3
01/02/2010,29.8
01/03/2010,31.6
01/04/2010,33.3
01/05/2010,34
01/06/2010,34.5
01/07/2010,33.9
01/08/2010,33.7
01/09/2010,33.4
01/10/2010,34
01/11/2010,33.9
01/12/2010,34.7
01/01/2011,37.2
01/02/2011,37.4
01/03/2011,39.1
01/04/2011,38.7
01/05/2011,39.6
01/06/2011,39.9
01/07/2011,40.7
01/08/2011,40.5
01/09/2011,40.4
01/10/2011,38.7
01/11/2011,40.2
01/12/2011,40.4
01/01/2012,40.2
01/02/2012,39.7
01/03/2012,39.3
01/04/2012,39.2
01/05/2012,39.6
01/06/2012,40.3
01/07/2012,39.3
01/08/2012,39.6
01/09/2012,39.8
01/10/2012,39.6
01/11/2012,39
01/12/2012,37.6
01/01/2013,35.6
01/02/2013,36.4
01/03/2013,37
01/04/2013,36.5
01/05/2013,36.8
01/06/2013,36.4
01/07/2013,37.3
01/08/2013,37.6
01/09/2013,37.4
01/10/2013,35.1
01/11/2013,36.6
01/12/2013,36.5
01/01/2014,35.1
01/02/2014,36.5
01/03/2014,35.3
01/04/2014,34.9
01/05/2014,34.4
01/06/2014,33.9
01/07/2014,32.7
01/08/2014,32
01/09/2014,31.9
01/10/2014,32.3
01/11/2014,32.7
01/12/2014,32.7
01/01/2015,32
01/02/2015,31.2
01/03/2015,30.5
01/04/2015,30.9
01/05/2015,30.7
01/06/2015,28.4
01/07/2015,28.1
01/08/2015,28.4
01/09/2015,25.7
01/10/2015,27.5
01/11/2015,27.9
01/12/2015,27.9
01/01/2016,29.1
01/02/2016,29.4
01/03/2016,28.3
01/04/2016,27.9
01/05/2016,26.9
01/06/2016,28
01/07/2016,27.8
01/08/2016,27.2
01/09/2016,26.5
01/10/2016,26.6
01/11/2016,25.9
01/12/2016,26.3
01/01/2017,25.4
01/02/2017,25.5
01/03/2017,25.3
01/04/2017,23.9
01/05/2017,24.9
01/06/2017,25.1
01/07/2017,25
01/08/2017,24.2
01/09/2017,26.1
01/10/2017,25.7
01/11/2017,25.2
01/12/2017,24
01/01/2018,24.3
01/02/2018,23
01/03/2018,24
01/04/2018,22.5
01/05/2018,21.1
01/06/2018,21.5
01/07/2018,23.3
01/08/2018,22.6
01/09/2018,23.9
01/10/2018,22.4
01/11/2018,21.6
01/12/2018,22
01/01/2019,20.9
01/02/2019,21.8
01/03/2019,22.1
01/04/2019,22.5
01/05/2019,24.3
01/06/2019,22.3
01/07/2019,20
01/08/2019,22.1
01/09/2019,22.1
01/10/2019,21.8
01/11/2019,19.7
01/12/2019,20.8
01/01/2020,22.2
01/02/2020,20.8
01/03/2020,16.7
01/04/2020,6.1
01/05/2020,10.4
01/06/2020,15.5
01/07/2020,17.3
01/08/2020,20
01/09/2020,21
01/10/2020,21.4
01/11/2020,23
01/12/2020,23.4
01/01/2021,26
01/02/2021,27.6
01/03/2021,29.7
01/04/2021,28.8
01/05/2021,29.9
01/06/2021,31.6
01/07/2021,29.5
01/08/2021,29.6
01/09/2021,28.4
